rank,finalWorth,category,personName,age,country,city,source,industries,selfMade,gender,birthDate,lastName,firstName,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
130,13700,Logistics,John Fredriksen,78,United Kingdom,London,Shipping,Logistics,TRUE,M,02/01/1945 00:00,Fredriksen,John,1945,2,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
130,13700,Construction & Engineering,Diane Hendricks,76,United States,Afton,Building supplies,Construction & Engineering,TRUE,F,03/02/1947 00:00,Hendricks,Diane,1947,3,2,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
130,13700,Technology,Jan Koum,47,United States,Atherton,WhatsApp,Technology,TRUE,M,2/24/1976 0:00,Koum,Jan,1976,2,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
133,13300,Sports,Jerry Jones,80,United States,Dallas,Dallas Cowboys,Sports,TRUE,M,10/13/1942 0:00,Jones,Jerry,1942,10,13,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
133,13300,Energy,George Kaiser,80,United States,Tulsa,"Oil & gas, banking",Energy,FALSE,M,7/29/1942 0:00,Kaiser,George,1942,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
136,13200,Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",Automotive,TRUE,M,12/28/1962 0:00,Lu,Xiangyang,1962,12,28,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
137,13100,Real Estate,Harry Triguboff,90,Australia,Sydney,Real estate,Real Estate,TRUE,M,03/03/1933 00:00,Triguboff,Harry,1933,3,3,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
138,12900,Finance & Investments,Uday Kotak,64,India,Mumbai,Banking,Finance & Investments,TRUE,M,3/15/1959 0:00,Kotak,Uday,1959,3,15,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
138,12900,Sports,Stanley Kroenke,75,United States,Electra,"Sports, real estate",Sports,TRUE,M,7/29/1947 0:00,Kroenke,Stanley,1947,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
140,12600,Energy,Mikhail Fridman,58,United Kingdom,London,"Oil, banking, telecom",Energy,TRUE,M,4/21/1964 0:00,Fridman,Mikhail,1964,4,21,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
141,12300,Energy,Sarath Ratanavadi,57,Thailand,Bangkok,Energy,Energy,TRUE,M,07/12/1965 00:00,Ratanavadi,Sarath,1965,7,12,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582
142,12200,Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,Metals & Mining,TRUE,M,02/01/1973 00:00,Dang,Yanbao,1973,2,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
142,12200,Healthcare,Jiang Rensheng & family,69,China,Chongqing,Vaccines,Healthcare,TRUE,M,10/08/1953 00:00,Jiang,Rensheng,1953,10,8,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
144,12100,Automotive,Shahid Khan,72,United States,Naples,Auto parts,Automotive,TRUE,M,7/18/1950 0:00,Khan,Shahid,1950,7,18,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
145,12000,Technology,Laurene Powell Jobs & family,59,United States,Palo Alto,"Apple, Disney",Technology,FALSE,F,11/06/1963 00:00,Powell Jobs,Laurene,1963,11,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
147,11600,Real Estate,Stephen Ross,82,United States,New York,Real estate,Real Estate,TRUE,M,05/10/1940 00:00,Ross,Stephen,1940,5,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
148,11500,Technology,Pavel Durov,38,United Arab Emirates,Dubai,Messaging app,Technology,TRUE,M,10/10/1984 00:00,Durov,Pavel,1984,10,10,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529
148,11500,Healthcare,Andreas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,TRUE,M,2/16/1950 0:00,Struengmann,Andreas,1950,2,16,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
148,11500,Healthcare,Thomas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,TRUE,M,2/16/1950 0:00,Struengmann,Thomas,1950,2,16,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
151,11400,Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,Food & Beverage,TRUE,M,01/01/1964 00:00,Liu,Hanyuan,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
151,11400,Fashion & Retail,Michael Rubin,50,United States,Bryn Mawr,Online retail,Fashion & Retail,TRUE,M,7/21/1972 0:00,Rubin,Michael,1972,7,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
153,11300,Finance & Investments,Israel Englander,74,United States,New York,Hedge funds,Finance & Investments,TRUE,M,9/30/1948 0:00,Englander,Israel,1948,9,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
153,11300,Manufacturing,Viatcheslav Kantor,69,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,TRUE,M,09/08/1953 00:00,Kantor,Viatcheslav,1953,9,8,108.15,"$395,098,666,122 ",82.8,23.1,25.3,9053300
153,11300,Manufacturing,Anthony Pratt,62,Australia,Melbourne,Manufacturing,Manufacturing,FALSE,M,04/11/1960 00:00,Pratt,Anthony,1960,4,11,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
153,11300,Finance & Investments,Mikhail Prokhorov,57,Switzerland,Frauenfeld,Investments,Finance & Investments,TRUE,M,05/03/1965 00:00,Prokhorov,Mikhail,1965,5,3,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
157,11100,Fashion & Retail,Giorgio Armani,88,Italy,Milan,Luxury goods,Fashion & Retail,TRUE,M,07/11/1934 00:00,Armani,Giorgio,1934,7,11,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396
157,11100,Fashion & Retail,Johann Rupert & family,72,South Africa,Cape Town,Luxury goods,Fashion & Retail,FALSE,M,06/01/1950 00:00,Rupert,Johann,1950,6,1,158.93,"$351,431,649,241 ",63.9,27.5,29.2,58558270
159,11000,Technology,Zhang Zhidong,51,China,Shenzhen,Internet media,Technology,TRUE,M,01/01/1972 00:00,Zhang,Zhidong,1972,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
161,10900,Finance & Investments,Philip Anschutz,83,United States,Denver,"Energy, sports, entertainment",Finance & Investments,FALSE,M,12/28/1939 0:00,Anschutz,Philip,1939,12,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
161,10900,Fashion & Retail,Judy Love & family,85,United States,Oklahoma City,Gas stations,Fashion & Retail,TRUE,F,6/17/1937 0:00,Love,Judy,1937,6,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
161,10900,Fashion & Retail,Ricardo Salinas Pliego & family,67,Mexico,Mexico City,"Retail, media",Fashion & Retail,FALSE,M,10/19/1955 0:00,Salinas Pliego,Ricardo,1955,10,19,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024
164,10700,Media & Entertainment,Donald Newhouse,93,United States,New York,Media,Media & Entertainment,FALSE,M,08/05/2029 00:00,Newhouse,Donald,1929,8,5,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
165,10600,Sports,Robert Kraft,81,United States,Brookline,"Manufacturing, New England Patriots",Sports,TRUE,M,06/05/1941 00:00,Kraft,Robert,1941,6,5,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
165,10600,Food & Beverage,Marcel Herrmann Telles,73,Brazil,Sao Paulo,Beer,Food & Beverage,TRUE,M,01/01/1950 00:00,Telles,Marcel Herrmann,1950,1,1,167.4,"$1,839,758,040,766 ",75.7,14.2,65.1,212559417
167,10500,Finance & Investments,Suleiman Kerimov & family,57,Russia,Moscow,Gold,Finance & Investments,TRUE,M,03/12/1966 00:00,Kerimov & family,Suleiman,1966,3,12,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
167,10500,Fashion & Retail,Sky Xu,39,China,Guangzhou,E-commerce,Fashion & Retail,TRUE,M,01/01/1984 00:00,Xu,Sky,1984,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
167,10500,Finance & Investments,Changpeng Zhao,45,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,TRUE,M,09/10/1977 00:00,Zhao,Changpeng,1977,9,10,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529
170,10300,Finance & Investments,Andrew Beal,70,United States,Dallas,"Banks, real estate",Finance & Investments,TRUE,M,11/29/1952 0:00,Beal,Andrew,1952,11,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
171,10200,Technology,Mike Cannon-Brookes,43,Australia,Sydney,Software,Technology,TRUE,M,11/17/1979 0:00,Cannon-Brookes,Mike,1979,11,17,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
171,10200,Healthcare,Carl Cook,60,United States,Bloomington,Medical devices,Healthcare,FALSE,M,8/19/1962 0:00,Cook,Carl,1962,8,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
171,10200,Technology,David Duffield,82,United States,Incline Village,Business software,Technology,TRUE,M,9/21/1940 0:00,Duffield,David,1940,9,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
171,10200,Energy,Jeffery Hildebrand,64,United States,Houston,Oil,Energy,TRUE,M,03/05/1959 00:00,Hildebrand,Jeffery,1959,3,5,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
171,10200,Manufacturing,Viktor Rashnikov,74,Russia,Magnitogorsk,Steel,Manufacturing,TRUE,M,10/13/1948 0:00,Rashnikov,Viktor,1948,10,13,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
171,10200,Technology,Eduardo Saverin,41,Singapore,Singapore,Facebook,Technology,TRUE,M,3/19/1982 0:00,Saverin,Eduardo,1982,3,19,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569
171,10200,Automotive,Georg Schaeffler,58,Germany,Herzogenaurach,Auto parts,Automotive,FALSE,M,10/19/1964 0:00,Schaeffler,Georg,1964,10,19,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
171,10200,Fashion & Retail,Christy Walton,74,United States,Jackson,Walmart,Fashion & Retail,FALSE,F,02/08/1949 00:00,Walton,Christy,1949,2,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
179,10100,Technology,Scott Farquhar,43,Australia,Sydney,Software,Technology,TRUE,M,12/17/1979 0:00,Farquhar,Scott,1979,12,17,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
179,10100,Diversified,Quek Leng Chan,81,Malaysia,Kuala Lumpur,"Banking, property",Diversified,FALSE,M,08/12/1941 00:00,Quek,Leng Chan,1941,8,12,121.46,"$364,701,517,788 ",76,12,38.7,32447385
179,10100,Real Estate,Wu Yajun,59,China,Beijing,Real estate,Real Estate,TRUE,F,01/01/1964 00:00,Wu,Yajun,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
182,10000,Energy,Autry Stephens,85,United States,Midland,Oil,Energy,TRUE,M,03/08/1938 00:00,Stephens,Autry,1938,3,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
183,9900,Service,Liu Yongxing,74,China,Shanghai,Diversified,Service,TRUE,M,06/01/1948 00:00,Liu,Yongxing,1948,6,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
184,9800,Diversified,Vinod Adani,74,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,TRUE,M,01/10/1949 00:00,Adani,Vinod,1949,1,10,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529
184,9800,Fashion & Retail,Nicolas Puech,80,Switzerland,Martigny,Hermes,Fashion & Retail,FALSE,M,1/29/1943 0:00,Puech,Nicolas,1943,1,29,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
184,9800,Logistics,"Jacques Saadé, Jr.",51,France,Marseille,Shipping,Logistics,FALSE,M,08/10/1971 00:00,Saadé,Jacques,1971,8,10,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
184,9800,Logistics,Rodolphe Saadé,53,France,Marseille,Shipping,Logistics,FALSE,M,03/03/1970 00:00,Saadé,Rodolphe,1970,3,3,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
184,9800,Logistics,Tanya Saadé Zeenny,55,France,Marseille,Shipping,Logistics,FALSE,F,02/01/1968 00:00,Saadé Zeenny,Tanya,1968,2,1,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
184,9800,Finance & Investments,Melker Schorling & family,75,Sweden,Stockholm,Investments,Finance & Investments,TRUE,M,5/15/1947 0:00,Schorling,Melker,1947,5,15,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453
190,9700,Manufacturing,Andrei Guriev & family,63,Russia,Moscow,Fertilizers,Manufacturing,TRUE,M,3/24/1960 0:00,Guriev & family,Andrei,1960,3,24,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
190,9700,Finance & Investments,Michael Kim,59,South Korea,Seoul,Private equity,Finance & Investments,TRUE,M,10/01/1963 00:00,Kim,Michael,1963,10,1,115.16,"$2,029,000,000,000 ",82.6,15.6,33.2,51709098
190,9700,Technology,Lei Jun,53,China,Beijing,Smartphones,Technology,TRUE,M,12/16/1969 0:00,Lei,Jun,1969,12,16,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
190,9700,Manufacturing,Friedhelm Loh,76,Germany,Haiger,Manufacturing,Manufacturing,FALSE,M,8/15/1946 0:00,Loh,Friedhelm,1946,8,15,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
190,9700,Healthcare,Sun Piaoyang,64,China,Lianyungang,Pharmaceuticals,Healthcare,TRUE,M,09/01/1958 00:00,Sun,Piaoyang,1958,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
195,9600,Technology,Rick Cohen & family,70,United States,Keene,Warehouse automation,Technology,FALSE,M,7/25/1952 0:00,Cohen,Rick,1952,7,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
195,9600,Energy,Jin Baofang,70,China,Xingtai,Solar panels,Energy,TRUE,M,09/01/1952 00:00,Jin,Baofang,1952,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
195,9600,Manufacturing,Luo Liguo & family,67,China,Ningbo,Chemicals,Manufacturing,TRUE,M,03/01/1956 00:00,Luo,Liguo,1956,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
195,9600,Food & Beverage,Marijke Mars,58,United States,Los Angeles,"Candy, pet food",Food & Beverage,FALSE,F,7/28/1964 0:00,Mars,Marijke,1964,7,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
195,9600,Food & Beverage,Pamela Mars,62,United States,Alexandria,"Candy, pet food",Food & Beverage,FALSE,F,08/01/1960 00:00,Mars,Pamela,1960,8,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
195,9600,Food & Beverage,Valerie Mars,64,United States,New York,"Candy, pet food",Food & Beverage,FALSE,F,1/26/1959 0:00,Mars,Valerie,1959,1,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
195,9600,Food & Beverage,Victoria Mars,66,United States,Philadelphia,"Candy, pet food",Food & Beverage,FALSE,F,12/15/1956 0:00,Mars,Victoria,1956,12,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
202,9500,Finance & Investments,Vincent Bolloré & family,71,France,Paris,Investments,Finance & Investments,FALSE,M,04/01/1952 00:00,Bolloré,Vincent,1952,4,1,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
202,9500,Diversified,Jim Pattison,94,Canada,Vancouver,Diversified,Diversified,TRUE,M,10/01/2028 00:00,Pattison,Jim,1928,10,1,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981
204,9400,Healthcare,Ernesto Bertarelli,57,Switzerland,Gstaad,"Biotech, investments",Healthcare,FALSE,M,9/22/1965 0:00,Bertarelli,Ernesto,1965,9,22,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
204,9400,Technology,Wang Xing,44,China,Beijing,Food delivery,Technology,TRUE,M,2/18/1979 0:00,Wang,Xing,1979,2,18,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
206,9300,Technology,Brian Chesky,41,United States,San Francisco,Airbnb,Technology,TRUE,M,8/29/1981 0:00,Chesky,Brian,1981,8,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
206,9300,Manufacturing,James Dyson,75,United Kingdom,Gloucestershire,Vacuums,Manufacturing,TRUE,M,05/02/1947 00:00,Dyson,James,1947,5,2,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
208,9200,Diversified,Roman Abramovich & family,56,Russia,Moscow,"Steel, investments",Diversified,TRUE,M,10/24/1966 0:00,Abramovich,Roman,1966,10,24,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
208,9200,Diversified,Antonia Ax:son Johnson & family,79,Sweden,Stockholm,Diversified,Diversified,FALSE,F,09/06/1943 00:00,Ax:son Johnson,Antonia,1943,9,6,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453
208,9200,Energy,Daniel Kretinsky,47,Czech Republic,Prague,"Energy, investments",Energy,TRUE,M,07/09/1975 00:00,Kretinsky,Daniel,1975,7,9,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709
208,9200,Media & Entertainment,John Malone,82,United States,Elizabeth,Cable television,Media & Entertainment,TRUE,M,03/07/1941 00:00,Malone,John,1941,3,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
208,9200,Technology,Azim Premji,77,India,Bangalore,Software services,Technology,FALSE,M,7/24/1945 0:00,Premji,Azim,1945,7,24,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
208,9200,Finance & Investments,Charles Schwab,85,United States,Woodside,Discount brokerage,Finance & Investments,TRUE,M,7/29/1937 0:00,Schwab,Charles,1937,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
208,9200,Fashion & Retail,Eric Smidt,63,United States,Beverly Hills,Hardware stores,Fashion & Retail,TRUE,M,01/01/1960 00:00,Smidt,Eric,1960,1,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
215,9000,Technology,David Cheriton,72,United States,Palo Alto,Google,Technology,TRUE,M,3/29/1951 0:00,Cheriton,David,1951,3,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
215,9000,Metals & Mining,Ivan Glasenberg,66,Switzerland,Ruschlikon,Mining,Metals & Mining,TRUE,M,01/07/1957 00:00,Glasenberg,Ivan,1957,1,7,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
215,9000,Real Estate,Alexander Otto,55,Germany,Hamburg,Real estate,Real Estate,FALSE,M,07/07/1967 00:00,Otto,Alexander,1967,7,7,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
215,9000,Food & Beverage,Anthony von Mandl,73,Canada,Vancouver,Alcoholic beverages,Food & Beverage,TRUE,M,03/10/1950 00:00,von Mandl,Anthony,1950,3,10,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981
215,9000,Manufacturing,Wang Liping & family,57,China,Changzhou,Hydraulic machinery,Manufacturing,TRUE,M,2/24/1966 0:00,Wang,Liping,1966,2,24,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
220,8900,Food & Beverage,Finn Rausing,68,United Kingdom,London,Packaging,Food & Beverage,FALSE,M,01/01/1955 00:00,Rausing,Finn,1955,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
220,8900,Food & Beverage,Jorn Rausing,63,United Kingdom,Surrey,Packaging,Food & Beverage,FALSE,M,01/01/1960 00:00,Rausing,Jorn,1960,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
220,8900,Food & Beverage,Kirsten Rausing,70,United Kingdom,Newmarket,Packaging,Food & Beverage,FALSE,F,06/06/1952 00:00,Rausing,Kirsten,1952,6,6,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
223,8800,Fashion & Retail,Tatyana Bakalchuk,47,Russia,Moscow region,Ecommerce,Fashion & Retail,TRUE,F,10/16/1975 0:00,Bakalchuk,Tatyana,1975,10,16,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
223,8800,Technology,John Doerr,71,United States,Woodside,Venture capital,Technology,TRUE,M,6/29/1951 0:00,Doerr,John,1951,6,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
223,8800,Technology,Richard Liu,49,China,Beijing,E-commerce,Technology,TRUE,M,03/10/1974 00:00,Liu,Richard,1974,3,10,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
223,8800,Technology,Dustin Moskovitz,38,United States,San Francisco,Facebook,Technology,TRUE,M,5/22/1984 0:00,Moskovitz,Dustin,1984,5,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
223,8800,Technology,Pierre Omidyar,55,United States,Honolulu,"EBay, PayPal",Technology,TRUE,M,6/21/1967 0:00,Omidyar,Pierre,1967,6,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
223,8800,Energy,Pei Zhenhua,64,China,Ningde,Batteries,Energy,TRUE,M,01/01/1959 00:00,Pei,Zhenhua,1959,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
223,8800,Energy,Carrie Perrodo & family,72,United Kingdom,London,Oil,Energy,FALSE,F,01/01/1951 00:00,Perrodo,Carrie,1951,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405
230,8700,Manufacturing,Chen Jianhua,52,China,Wujiang,Chemicals,Manufacturing,TRUE,M,01/01/1971 00:00,Chen,Jianhua,1971,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
230,8700,Fashion & Retail,Michael Otto,79,Germany,Hamburg,"Retail, real estate",Fashion & Retail,FALSE,M,04/12/1943 00:00,Otto,Michael,1943,4,12,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
232,8600,Finance & Investments,Leon Black,71,United States,New York,Private equity,Finance & Investments,TRUE,M,7/31/1951 0:00,Black,Leon,1951,7,31,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
232,8600,Finance & Investments,Graeme Hart,67,New Zealand,Auckland,Investments,Finance & Investments,TRUE,M,06/06/1955 00:00,Hart,Graeme,1955,6,6,114.24,"$206,928,765,544 ",81.9,29,34.6,4841000
232,8600,Food & Beverage,Ravi Jaipuria,68,India,Delhi,"Soft drinks, fast food",Food & Beverage,FALSE,M,11/28/1954 0:00,Jaipuria,Ravi,1954,11,28,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
232,8600,Technology,Hasso Plattner & family,79,Germany,Heidelberg,Software,Technology,TRUE,M,1/21/1944 0:00,Plattner,Hasso,1944,1,21,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799
232,8600,Food & Beverage,Carlos Alberto Sicupira & family,75,Switzerland,St. Gallen,Beer,Food & Beverage,TRUE,M,01/01/1948 00:00,Sicupira,Carlos Alberto,1948,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832
232,8600,Real Estate,Manuel Villar,73,Philippines,Manila,Real estate,Real Estate,TRUE,M,12/13/1949 0:00,Villar,Manuel,1949,12,13,129.61,"$376,795,508,680 ",71.1,14,43.1,108116615
232,8600,Technology,Andreas von Bechtolsheim & family,67,United States,Palo Alto,Google,Technology,TRUE,M,9/30/1955 0:00,von Bechtolsheim,Andreas,1955,9,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
239,8500,Finance & Investments,"Chase Coleman, III.",47,United States,New York,Investments,Finance & Investments,TRUE,M,6/21/1975 0:00,Coleman,Chase,1975,6,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
239,8500,Fashion & Retail,Ann Walton Kroenke,74,United States,Electra,Walmart,Fashion & Retail,FALSE,F,12/18/1948 0:00,Kroenke,Ann Walton,1948,12,18,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
239,8500,Manufacturing,Li Zhenguo & family,55,China,Xi'an,Solar wafers and modules,Manufacturing,TRUE,M,01/01/1968 00:00,Li,Zhenguo,1968,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
242,8400,Media & Entertainment,Jim Kennedy,75,United States,Atlanta,"Media, automotive",Media & Entertainment,FALSE,M,11/29/1947 0:00,Kennedy,Jim,1947,11,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
242,8400,Metals & Mining,Nicky Oppenheimer & family,77,South Africa,Johannesburg,Diamonds,Metals & Mining,FALSE,M,06/08/1945 00:00,Oppenheimer,Nicky,1945,6,8,158.93,"$351,431,649,241 ",63.9,27.5,29.2,58558270
242,8400,Media & Entertainment,Blair Parry-Okeden,72,Australia,New South Wales,"Media, automotive",Media & Entertainment,FALSE,F,5/21/1950 0:00,Parry-Okeden,Blair,1950,5,21,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605
242,8400,Metals & Mining,Zheng Shuliang & family,77,China,Binzhou,Aluminum products,Metals & Mining,FALSE,F,01/01/1946 00:00,Zheng,Shuliang,1946,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
246,8300,Fashion & Retail,John Morris,75,United States,Springfield,Sporting goods retail,Fashion & Retail,TRUE,M,3/19/1948 0:00,Morris,John,1948,3,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
249,8200,Energy,German Khan,61,Russia,Moscow,"Oil, banking, telecom",Energy,TRUE,M,10/24/1961 0:00,Khan,German,1961,10,24,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535
249,8200,Diversified,Abdulsamad Rabiu,62,Nigeria,Lagos,"Cement, sugar",Diversified,FALSE,M,08/04/1960 00:00,Rabiu,Abdulsamad,1960,8,4,267.51,"$448,120,428,859 ",54.3,1.5,34.8,200963599
249,8200,Finance & Investments,George Roberts,79,United States,Atherton,Private equity,Finance & Investments,TRUE,M,9/14/1943 0:00,Roberts,George,1943,9,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523
249,8200,Real Estate,Kushal Pal Singh,91,India,Delhi,Real estate,Real Estate,FALSE,M,8/15/1931 0:00,Singh,Kushal Pal,1931,8,15,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754
249,8200,Real Estate,Wang Jianlin,68,China,Beijing,Real estate,Real Estate,TRUE,M,10/01/1954 00:00,Wang,Jianlin,1954,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
249,8200,Real Estate,Yang Huiyan & family,41,China,Foshan,Real estate,Real Estate,FALSE,F,9/27/1981 0:00,Yang,Huiyan,1981,9,27,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000
256,8100,Diversified,Laurent Dassault,69,France,Paris,Diversified,Diversified,FALSE,M,07/07/1953 00:00,Dassault,Laurent,1953,7,7,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
256,8100,Diversified,Thierry Dassault,66,France,Paris,Diversified,Diversified,FALSE,M,3/26/1957 0:00,Dassault,Thierry,1957,3,26,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887
